month,cty_code,country,gen_val_usd,gen_qty,qty_unit,con_val_usd,hts
2024-01,5200,UNITED ARAB EMIRATES,25000,11,NO,28566,7104911000
2024-01,5330,INDIA,98435528,1910319,NO,109887610,7104911000
2024-01,5490,THAILAND,38131,125142,NO,38131,7104911000
2024-01,5600,INDONESIA,125752,265346,NO,125752,7104911000
2024-01,5700,CHINA,97589,8017,NO,97589,7104911000
2024-01,5820,HONG KONG,161754,481,NO,144197,7104911000
2024-01,4120,UNITED KINGDOM,53277,84,NO,53277,7104911000
2024-01,4210,NETHERLANDS,36533,92,NO,36533,7104911000
2024-01,4231,BELGIUM,38157,125,NO,83883,7104911000
2024-01,4330,AUSTRIA,35080,236820,NO,35080,7104911000
2024-01,4419,SWITZERLAND,49700,23,NO,49700,7104911000
2024-01,4890,TURKEY,10000,1,NO,10000,7104911000
2024-01,5081,ISRAEL,1104738,4341,NO,1137722,7104911000
2024-01,-,TOTAL FOR ALL COUNTRIES,100945153,2551222,NO,112461954,7104911000
2024-01,0003,EUROPEAN UNION,109770,237037,NO,155496,7104911000
2024-01,1XXX,NORTH AMERICA,733914,420,NO,733914,7104911000
2024-01,4XXX,EUROPE,222747,237145,NO,268473,7104911000
2024-01,0014,PACIFIC RIM COUNTRIES,385095,273844,NO,367538,7104911000
2024-01,5XXX,ASIA,99988492,2313657,NO,111459567,7104911000
2024-01,0020,USMCA (NAFTA),733914,420,NO,733914,7104911000
2024-01,0022,OECD,2061399,241906,NO,2140109,7104911000
2024-01,0023,NATO,871881,722,NO,917607,7104911000
2024-01,0025,EURO AREA,109770,237037,NO,155496,7104911000
2024-01,0026,APEC,1157140,399406,NO,1139583,7104911000
2024-01,0027,ASEAN,163883,390488,NO,163883,7104911000
2024-01,1220,CANADA,733914,420,NO,733914,7104911000
2024-02,5200,UNITED ARAB EMIRATES,14769,30,NO,11589,7104911000
2024-02,5330,INDIA,92001956,2922305,NO,96318522,7104911000
2024-02,5490,THAILAND,9057,275031,NO,9057,7104911000
2024-02,5590,SINGAPORE,3250,1,NO,3250,7104911000
2024-02,5600,INDONESIA,158952,612,NO,158952,7104911000
2024-02,5700,CHINA,20192,4682,NO,20192,7104911000
