keyword;volume;cpc;competition;trend;intent
round engagement ring;2400;1.7;1;0.16,0.23,0.16,0.16,0.16,0.12,0.16,0.19,1.00,0.12,0.54,0.12;1,0
oval engagement ring;4400;1.75;1;0.10,0.16,0.19,0.16,0.19,0.16,0.19,0.16,0.13,0.13,0.13,0.36;1,0
cushion engagement ring;1600;1.79;1;0.44,0.55,0.65,0.55,0.55,0.55,0.65,0.55,0.44,0.55,0.44,0.55;0
emerald cut engagement ring;3600;1.98;1;0.10,0.10,0.13,0.10,0.13,0.24,0.19,0.10,0.08,0.08,0.16,0.24;0
pear engagement ring;1900;1.99;1;0.54,0.35,0.16,0.16,0.16,0.16,0.19,0.29,0.19,0.19,0.16,0.23;1,0
marquise engagement ring;14800;1.93;1;0.54,0.66,0.66,0.54,0.66,0.66,1.00,0.66,0.66,0.66,0.66,0.81;0
princess cut engagement ring;12100;1.78;1;0.36,0.44,0.54,0.44,0.44,0.54,0.54,0.36,0.44,0.36,0.44,0.66;1,0
radiant engagement ring;2400;2.42;1;0.66,0.66,0.66,0.66,0.52,0.66,0.80,0.66,0.52,0.66,0.80,0.66;0
asscher engagement ring;480;1.89;0.98;0.54,0.54,0.66,0.81,0.66,0.66,0.66,0.66,0.44,0.81,0.44,0.54;0
heart engagement ring;720;1.93;1;0.52,0.31,0.25,0.31,0.31,0.31,0.46,0.37,0.46,0.31,0.25,0.31;1
elongated cushion engagement ring;1300;2.15;1;0.81,1.00,0.81,1.00,0.81,0.62,0.81,0.81,0.62,0.55,0.62,0.62;0
hexagon engagement ring;880;1.34;1;0.55,0.81,0.62,0.55,0.62,0.55,0.62,0.55,0.55,0.55,0.55,0.55;0
elongated hexagon engagement ring;1600;1.68;1;0.79,0.66,1.00,0.66,0.66,0.66,0.79,0.79,0.41,0.54,0.54,0.54;0
dutch marquise engagement ring;1900;1.75;1;0.24,0.24,0.36,0.27,0.44,0.52,0.66,1.00,0.80,0.80,1.00,1.00;0
kite engagement ring;320;1.89;1;0.44,0.54,0.54,0.54,0.44,0.44,0.44,0.44,0.44,0.44,0.54,0.44;0
trillion engagement ring;210;1.51;1;0.53,0.66,0.53,0.53,0.53,0.43,0.35,0.82,0.28,0.35,0.43,0.53;1
baguette engagement ring;1600;1.74;1;0.44,0.65,0.55,0.55,0.55,0.55,0.55,0.65,0.30,0.44,0.44,0.34;1,0
old mine cut engagement ring;1000;1.24;1;0.25,0.31,1.00,0.52,0.52,0.52,0.68,0.84,0.52,0.52,0.52,0.52;1,0
old european cut engagement ring;170;0.94;1;0.42,0.65,1.00,0.65,0.53,0.65,0.80,0.80,0.53,0.53,0.53,0.53;1
moval engagement ring;1900;1.74;1;0.36,0.80,0.52,0.44,0.52,0.66,0.52,0.52,0.66,0.66,0.80,1.00;1,0
elongated radiant engagement ring;40;3.16;1;0.63,0.45,0.18,0.18,0.18,0.27,0.27,1.00,0.18,0.18,0.18,0.18;0
round cut diamond;2400;1.29;0.96;0.36,0.81,0.81,0.54,0.54,0.65,0.65,0.43,0.43,0.36,1.00,0.43;1,0
oval cut diamond;2400;1.77;1;0.65,0.65,1.00,0.82,0.82,0.82,0.82,0.65,0.82,0.65,0.65,0.65;1,0
