month,customs_value_usd,india_share_pct
2024-01,100945153,97.4
2024-02,94721701,97.0
2024-03,86423389,92.2
2024-04,83661706,88.0
2024-05,93923341,94.5
2024-06,69810468,94.6
2024-07,81122216,92.4
2024-08,75308942,93.4
2024-09,91054416,87.0
2024-10,107326069,89.5
2024-11,61322183,83.5
2024-12,75411039,96.9
2025-01,65550651,96.8
2025-02,78242037,87.3
2025-03,106228411,92.7
2025-04,85334277,90.3
2025-05,35495615,96.7
2025-06,31757142,97.1
2025-07,67324771,95.6
2025-08,51858675,98.6
2025-09,6161573,69.1
2025-10,8558293,61.0
2025-11,6612657,68.2
2025-12,7148328,65.2
2026-01,5146213,55.6
2026-02,16075263,81.5
2026-03,20317948,94.5
2026-04,19129230,93.7
2026-05,25514182,96.6
2026-06,18273177,89.4
2026-07,27794891,
