period,partner_code,partner,value_usd,qty,qty_unit,net_wgt_kg,cif_usd,fob_usd
202401,0,World,105565611.0,0.0,N/A,,105565611.0,101404103.0
202401,699,India,102789489.0,1557.186,kg,1557.186,102789489.0,98684068.0
202401,376,Israel,1133026.0,17.581,kg,17.581,1133026.0,1108917.0
202401,124,Canada,739899.0,0.0,N/A,,739899.0,733914.0
202401,344,"China, Hong Kong SAR",174501.0,2.505,kg,2.505,174501.0,166182.0
202401,156,China,145806.0,1.686,kg,1.686,145806.0,142026.0
202401,360,Indonesia,125819.0,0.0,N/A,,125819.0,125752.0
202401,56,Belgium,111501.0,2.248,kg,2.248,111501.0,109649.0
202401,826,United Kingdom,62306.0,1.574,kg,1.574,62306.0,58373.0
202401,784,United Arab Emirates,50900.0,0.393,kg,0.393,50900.0,50000.0
202401,757,Switzerland,50150.0,0.0,N/A,,50150.0,49700.0
202401,764,Thailand,45468.0,1.438,kg,1.438,45468.0,44647.0
202401,276,Germany,39875.0,0.507,kg,0.507,39875.0,39175.0
202401,528,Netherlands,37926.0,0.0,N/A,,37926.0,36533.0
202401,40,Austria,37508.0,0.0,N/A,,37508.0,35080.0
202401,792,Türkiye,10450.0,0.0,N/A,,10450.0,10000.0
202401,251,France,6552.0,0.27,kg,0.27,6552.0,6102.0
202401,51,Armenia,4435.0,0.3,kg,0.3,4435.0,3985.0
202402,0,World,98434982.0,0.0,N/A,,98434982.0,95134936.0
202402,699,India,95514639.0,1449.69,kg,1449.69,95514639.0,92272170.0
202402,376,Israel,1421274.0,21.751,kg,21.751,1421274.0,1398287.0
202402,56,Belgium,658104.0,10.033,kg,10.033,658104.0,650558.0
202402,360,Indonesia,158955.0,0.0,N/A,,158955.0,158952.0
202402,344,"China, Hong Kong SAR",138143.0,2.397,kg,2.397,138143.0,130762.0
202402,826,United Kingdom,133483.0,0.0,N/A,,133483.0,129173.0
202402,124,Canada,124317.0,2.267,kg,2.267,124317.0,120927.0
202402,528,Netherlands,52238.0,0.0,N/A,,52238.0,49457.0
202402,156,China,49428.0,0.438,kg,0.438,49428.0,47267.0
202402,276,Germany,34735.0,0.452,kg,0.452,34735.0,34210.0
202402,410,Rep. of Korea,33035.0,1.5,kg,1.5,33035.0,32960.0
202402,710,South Africa,32529.0,0.0,N/A,,32529.0,32079.0
202402,40,Austria,25556.0,0.0,N/A,,25556.0,23225.0
202402,784,United Arab Emirates,16279.0,0.0,N/A,,16279.0,14769.0
202402,757,Switzerland,12705.0,0.037,kg,0.037,12705.0,12255.0
202402,792,Türkiye,10450.0,0.002,kg,0.002,10450.0,10000.0
202402,764,Thailand,9510.0,0.0,N/A,,9510.0,9057.0
202402,554,New Zealand,3764.0,0.0,N/A,,3764.0,3440.0
202402,702,Singapore,3700.0,0.0,N/A,,3700.0,3250.0
202402,36,Australia,2138.0,0.001,kg,0.001,2138.0,2138.0
202403,0,World,90231117.0,0.0,N/A,,90231117.0,86730683.0
202403,699,India,83234886.0,1261.759,kg,1261.759,83234886.0,79809374.0
202403,344,"China, Hong Kong SAR",3670253.0,55.198,kg,55.198,3670253.0,3658385.0
202403,376,Israel,2394110.0,37.011,kg,37.011,2394110.0,2357132.0
202403,56,Belgium,185633.0,4.475,kg,4.475,185633.0,182847.0
202403,764,Thailand,176217.0,0.0,N/A,,176217.0,174938.0
202403,156,China,167619.0,18.726,kg,18.726,167619.0,158085.0
202403,826,United Kingdom,70645.0,1.164,kg,1.164,70645.0,66508.0
202403,360,Indonesia,65253.0,0.0,N/A,,65253.0,65247.0
202403,392,Japan,56894.0,0.001,kg,0.001,56894.0,56444.0
202403,757,Switzerland,52725.0,0.0,N/A,,52725.0,52222.0
202403,528,Netherlands,47993.0,0.0,N/A,,47993.0,45574.0
202403,124,Canada,45093.0,0.0,N/A,,45093.0,42174.0
202403,380,Italy,17000.0,0.0,N/A,,17000.0,16550.0
202403,792,Türkiye,13800.0,0.0,N/A,,13800.0,12900.0
202403,410,Rep. of Korea,10978.0,9.12,kg,9.12,10978.0,10915.0
202403,40,Austria,8174.0,0.0,N/A,,8174.0,7850.0
202403,372,Ireland,8028.0,6.0,kg,6.0,8028.0,7797.0
202403,276,Germany,5816.0,0.2,kg,0.2,5816.0,5741.0
202404,0,World,87796008.0,0.0,N/A,,87796008.0,84046369.0
202404,699,India,77290492.0,1176.638,kg,1176.638,77290492.0,73688862.0
202404,56,Belgium,3874176.0,61.109,kg,61.109,3874176.0,3834951.0
202404,376,Israel,2392486.0,36.711,kg,36.711,2392486.0,2365773.0
202404,784,United Arab Emirates,1467995.0,0.0,N/A,,1467995.0,1467695.0
202404,344,"China, Hong Kong SAR",769374.0,11.188,kg,11.188,769374.0,711153.0
202404,124,Canada,734407.0,10.916,kg,10.916,734407.0,728443.0
202404,764,Thailand,515950.0,0.0,N/A,,515950.0,515122.0
202404,156,China,213016.0,3.665,kg,3.665,213016.0,206900.0
202404,276,Germany,194059.0,3.184,kg,3.184,194059.0,192709.0
202404,826,United Kingdom,87538.0,0.713,kg,0.713,87538.0,85277.0
202404,360,Indonesia,76328.0,0.0,N/A,,76328.0,76326.0
202404,528,Netherlands,49513.0,0.786,kg,0.786,49513.0,47047.0
202404,757,Switzerland,41676.0,0.0,N/A,,41676.0,41209.0
202404,40,Austria,33641.0,0.0,N/A,,33641.0,31485.0
202404,792,Türkiye,20550.0,0.0,N/A,,20550.0,20100.0
202404,410,Rep. of Korea,14727.0,4.68,kg,4.68,14727.0,14645.0
202404,36,Australia,11909.0,0.0,N/A,,11909.0,11176.0
202404,554,New Zealand,5548.0,4.961,kg,4.961,5548.0,5196.0
202404,516,Namibia,2623.0,0.0,N/A,,2623.0,2300.0
202405,0,World,97850305.0,0.0,N/A,,97850305.0,94393423.0
202405,699,India,92472718.0,1407.285,kg,1407.285,92472718.0,89167008.0
202405,376,Israel,2705505.0,40.662,kg,40.662,2705505.0,2669935.0
202405,344,"China, Hong Kong SAR",1034774.0,15.914,kg,15.914,1034774.0,946447.0
202405,276,Germany,358960.0,0.0,N/A,,358960.0,357637.0
202405,124,Canada,328338.0,5.433,kg,5.433,328338.0,323784.0
202405,56,Belgium,316193.0,4.59,kg,4.59,316193.0,312320.0
202405,156,China,165882.0,2.722,kg,2.722,165882.0,161006.0
202405,360,Indonesia,131171.0,0.0,N/A,,131171.0,131063.0
202405,764,Thailand,76638.0,1.582,kg,1.582,76638.0,75430.0
202405,826,United Kingdom,70794.0,0.0,N/A,,70794.0,66336.0
202405,528,Netherlands,57289.0,0.0,N/A,,57289.0,54496.0
202405,40,Austria,34894.0,0.0,N/A,,34894.0,33974.0
202405,757,Switzerland,33382.0,0.926,kg,0.926,33382.0,33132.0
202405,792,Türkiye,32050.0,0.025,kg,0.025,32050.0,31600.0
202405,36,Australia,11548.0,0.0,N/A,,11548.0,10304.0
202405,554,New Zealand,10970.0,5.3,kg,5.3,10970.0,10279.0
