month,customs_value_usd,india_share_pct
2024-01,105565611,97.4
2024-02,98434982,97.0
2024-03,90231117,92.2
2024-04,87796008,88.0
2024-05,97850305,94.5
2024-06,72985089,94.6
2024-07,84809491,92.4
2024-08,78678795,93.4
2024-09,95462534,87.0
2024-10,112149602,89.5
2024-11,64263359,83.5
2024-12,78783269,96.9
2025-01,69206918,96.8
2025-02,81773020,87.3
2025-03,111840043,92.7
2025-04,87229034,90.3
2025-05,36090975,96.7
2025-06,32251254,97.1
2025-07,67849154,95.6
2025-08,52398107,98.6
2025-09,6499574,69.1
2025-10,8991092,61.0
2025-11,6833432,68.2
2025-12,7527509,65.2
2026-01,5383386,55.6
2026-02,16365279,81.5
2026-03,20876471,94.5
2026-04,19624279,93.7
2026-05,26193512,96.6
2026-06,18741263,89.4
