shape_family,us_monthly_searches,share_pct,terms
Marquise,14800,26.8,marquise engagement ring
Princess,12100,21.9,princess cut engagement ring
Oval,4400,8.0,oval engagement ring
"Hexagon family (Dutch marquise, elongated hexagon, hexagon)",4380,7.9,dutch marquise engagement ring + elongated hexagon engagement ring + hexagon engagement ring
Emerald,3600,6.5,emerald cut engagement ring
Round,2400,4.3,round engagement ring
Radiant,2400,4.3,radiant engagement ring
Pear,1900,3.4,pear engagement ring
Moval,1900,3.4,moval engagement ring
Cushion,1600,2.9,cushion engagement ring
Baguette,1600,2.9,baguette engagement ring
Elongated cushion,1300,2.3,elongated cushion engagement ring
Old mine,1000,1.8,old mine cut engagement ring
Heart,720,1.3,heart engagement ring
Asscher,480,0.9,asscher engagement ring
Kite,320,0.6,kite engagement ring
Trillion,210,0.4,trillion engagement ring
Old European,170,0.3,old european cut engagement ring
Elongated radiant,40,0.1,elongated radiant engagement ring
